PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalAnnualMaxCapacity,NDP,HON,PPBIM,,,,2018,,,,,,0.2589
TotalAnnualMaxCapacity,NDP,HON,PPBIM,,,,2019,,,,,,0.2606
TotalAnnualMaxCapacity,NDP,HON,PPBIM,,,,2020,,,,,,0.2606
TotalAnnualMaxCapacity,NDP,HON,PPBIM,,,,2021,,,,,,0.2606
TotalAnnualMaxCapacity,NDP,HON,PPBIM,,,,2022,,,,,,0.2606
TotalAnnualMaxCapacity,NDP,HON,PPBIM,,,,2023,,,,,,0.2606
TotalAnnualMaxCapacity,NDP,HON,PPBIM,,,,2024,,,,,,0.2606
TotalAnnualMaxCapacity,NDP,HON,PPBIM,,,,2025,,,,,,0.2606
TotalAnnualMaxCapacity,NDP,HON,PPBIM,,,,2026,,,,,,0.2606
TotalAnnualMaxCapacity,NDP,HON,PPBIM,,,,2027,,,,,,0.2606
TotalAnnualMaxCapacity,NDP,HON,PPBIM,,,,2028,,,,,,0.2606
TotalAnnualMaxCapacity,NDP,HON,PPBIM,,,,2029,,,,,,0.2606
TotalAnnualMaxCapacity,NDP,HON,PPBIM,,,,2030,,,,,,0.2606
TotalAnnualMaxCapacity,NDP,HON,PPBIM,,,,2031,,,,,,0.2606
TotalAnnualMaxCapacity,NDP,HON,PPBIM,,,,2032,,,,,,0.2606
TotalAnnualMaxCapacity,NDP,HON,PPBIM,,,,2033,,,,,,0.29
TotalAnnualMaxCapacity,NDP,HON,PPBIM,,,,2034,,,,,,0.32
TotalAnnualMaxCapacity,NDP,HON,PPBIM,,,,2035,,,,,,0.35
TotalAnnualMaxCapacity,NDP,HON,PPBIM,,,,2036,,,,,,0.38
TotalAnnualMaxCapacity,NDP,HON,PPBIM,,,,2037,,,,,,0.41
TotalAnnualMaxCapacity,NDP,HON,PPBIM,,,,2038,,,,,,0.44
TotalAnnualMaxCapacity,NDP,HON,PPBIM,,,,2039,,,,,,0.47
TotalAnnualMaxCapacity,NDP,HON,PPBIM,,,,2040,,,,,,0.5
TotalAnnualMaxCapacity,NDP,HON,PPBIM,,,,2041,,,,,,0.55
TotalAnnualMaxCapacity,NDP,HON,PPBIM,,,,2042,,,,,,0.56
TotalAnnualMaxCapacity,NDP,HON,PPBIM,,,,2043,,,,,,0.59
TotalAnnualMaxCapacity,NDP,HON,PPBIM,,,,2044,,,,,,0.62
TotalAnnualMaxCapacity,NDP,HON,PPBIM,,,,2045,,,,,,0.65
TotalAnnualMaxCapacity,NDP,HON,PPBIM,,,,2046,,,,,,0.68
TotalAnnualMaxCapacity,NDP,HON,PPBIM,,,,2047,,,,,,0.71
TotalAnnualMaxCapacity,NDP,HON,PPBIM,,,,2048,,,,,,0.74
TotalAnnualMaxCapacity,NDP,HON,PPBIM,,,,2049,,,,,,0.77
TotalAnnualMaxCapacity,NDP,HON,PPBIM,,,,2050,,,,,,0.8
TotalAnnualMaxCapacity,NDP,HON,PPCOA,,,,2018,,,,,,0.11
TotalAnnualMaxCapacity,NDP,HON,PPCOA,,,,2019,,,,,,0.11
TotalAnnualMaxCapacity,NDP,HON,PPCOA,,,,2020,,,,,,0.11
TotalAnnualMaxCapacity,NDP,HON,PPCOA,,,,2021,,,,,,0.11
TotalAnnualMaxCapacity,NDP,HON,PPCOA,,,,2022,,,,,,0.11
TotalAnnualMaxCapacity,NDP,HON,PPCOA,,,,2023,,,,,,0.11
TotalAnnualMaxCapacity,NDP,HON,PPCOA,,,,2024,,,,,,0.11
TotalAnnualMaxCapacity,NDP,HON,PPCOA,,,,2025,,,,,,0.11
TotalAnnualMaxCapacity,NDP,HON,PPCOA,,,,2026,,,,,,0.11
TotalAnnualMaxCapacity,NDP,HON,PPCOA,,,,2027,,,,,,0.11
TotalAnnualMaxCapacity,NDP,HON,PPCOA,,,,2028,,,,,,0.11
TotalAnnualMaxCapacity,NDP,HON,PPCOA,,,,2029,,,,,,0.11
TotalAnnualMaxCapacity,NDP,HON,PPCOA,,,,2030,,,,,,0.11
TotalAnnualMaxCapacity,NDP,HON,PPCOA,,,,2031,,,,,,0.11
TotalAnnualMaxCapacity,NDP,HON,PPCOA,,,,2032,,,,,,0.11
TotalAnnualMaxCapacity,NDP,HON,PPCOA,,,,2033,,,,,,0.11
TotalAnnualMaxCapacity,NDP,HON,PPCOA,,,,2034,,,,,,0.11
TotalAnnualMaxCapacity,NDP,HON,PPCOA,,,,2035,,,,,,0.11
TotalAnnualMaxCapacity,NDP,HON,PPCOA,,,,2036,,,,,,0.11
TotalAnnualMaxCapacity,NDP,HON,PPCOA,,,,2037,,,,,,0.11
TotalAnnualMaxCapacity,NDP,HON,PPCOA,,,,2038,,,,,,0.11
TotalAnnualMaxCapacity,NDP,HON,PPCOA,,,,2039,,,,,,0.11
